"id","dish_id","ingredient_id","ingredient_name","quantity_cook","quantity"
48502,M0002,NL3094,Ớt sừng băm,0.1,
60783,M0022,NL1107,Nước mắm,,
60790,M0023,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
61351,M0074,NL1054,Rượu trắng,,
48506,M0003,NL13,Hoa thiên lý,200.0,
60985,M0041,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
61014,M0044,NL1107,Nước mắm,,
68137,M0700,NL1054,Rượu trắng,,
48510,M0003,NL16,Hành phi,1.0,
48511,M0004,NL19,Dưa gang muối chua,250.0,
48512,M0004,NL20,Cà chua,1.0,
68147,M0701,NL1054,Rượu trắng,,
48514,M0005,NL21,Mọc,150.0,
48515,M0005,NL22,Lòng đỏ trứng muối,5.0,
48516,M0005,NL119,Hành tím băm,1.0,
48517,M0005,NL3094,Ớt sừng băm,1.0,
48518,M0006,NL23,Hàu thịt,300.0,
70078,M0882,NL1054,Rượu trắng,,
48520,M0006,NL24,Su hào,100.0,
48588,M0020,NL947,Bơ lạt,1.0,
48522,M0006,NL25,Bánh pía tươi,1.0,
48523,M0006,NL26,Trứng gà,1.0,
48525,M0007,NL28,Cam,1.0,
48526,M0007,NL29,Ngò tây,1.0,
48591,M0020,NL661,Húng tây,20.0,
78848,M1692,NL1054,Rượu trắng,,
48529,M0008,NL34,Nước gừng,1.0,
78890,M1696,NL1054,Rượu trắng,,
48565,M0016,NL2779,Măng chua,100.0,
48599,M0022,NL2572,Lê,0.5,
48598,M0022,NL1449,Rong biển Nhật wakame,10.0,
48534,M0009,NL39,Lòng trắng trứng gà ta,1.0,
48535,M0009,NL3062,Mè trắng rang,1.0,
48536,M0010,NL20,Cà chua,4.0,
48538,M0010,NL41,Hành boaro,200.0,
48540,M0010,NL420,Gừng bằm,2.0,
48541,M0010,NL44,Dừa tươi,1.0,
48542,M0010,NL3062,Mè trắng rang,4.0,
48543,M0011,NL45,Whipping đánh nổi,1.0,
48546,M0012,NL46,Hành lá,2.0,
48524,M0007,NL107,Mực lá,500.0,
48551,M0013,NL50,Cải thảo,1.0,
48552,M0013,NL51,Đậu que Nhật,8.0,
48553,M0013,NL53,Nấm mèo,2.0,
48566,M0017,NL107,Mực ống tươi,300.0,
48555,M0013,NL46,Hành lá,12.0,
48556,M0013,NL16,Hành phi,1.0,
48558,M0014,NL55,Cà rốt,50.0,
48559,M0014,NL119,Hành tím băm,1.0,
48562,M0016,NL59,Gà quay,300.0,
48563,M0016,NL60,Cải chua,100.0,
48567,M0017,NL64,Rau mầm tím,50.0,
48568,M0017,NL66,Củ radish,5.0,
48573,M0018,NL70,Tôm khô,30.0,
48574,M0018,NL71,Mỡ heo,100.0,
48576,M0018,NL46,Hành lá,2.0,
48578,M0018,NL16,Hành phi,2.0,
48579,M0018,NL2977,tiêu xanh,1.0,
48581,M0019,NL74,Trứng gà ta,1.0,
48582,M0019,NL75,Giò sống,50.0,
48584,M0019,NL3185,Bột xù,1.0,
48587,M0020,NL79,Bột mì,2.0,
48593,M0021,NL86,Lá dứa,2.0,
48595,M0021,NL46,Hành lá,2.0,
48597,M0022,NL89,Bí đỏ,300.0,
48600,M0022,NL92,Bột năng,0.5,
48601,M0022,NL46,Hành lá,1.0,
48602,M0023,NL75,Giò sống,50.0,
48604,M0023,NL76,Hành tỏi phi,2.0,
48611,M0025,NL103,Ếch,3.0,
48612,M0025,NL119,Hành tím lột vỏ nguyên củ,15.0,
48615,M0025,NL2977,tiêu xanh,5.0,
48617,M0026,NL75,Giò sống,100.0,
48618,M0026,NL106,Rau mồng tơi,300.0,
48619,M0026,NL20,Cà chua,1.0,
48622,M0027,NL108,Tôm đất nhỏ,200.0,
48531,M0009,NL1619,Cà chua bi,6.0,
48564,M0016,NL1619,Cà chua bi,100.0,
